writing	reading	meaning	level
あの	あの	similar to English er or umm, said when hesitating in speech; similar to English uh, space filler or pause during conversation	N5
アパート	あぱーと	apartment; apartment building, apartment block	N5
あびる	あびる	to bathe, to shower	N5
危ない	あぶない	dangerous, critical, perilous, risky; uncertain, unreliable, insecure; limping, narrow, close; Watch out!	N5
甘い	あまい	sweet, sugary, mellow; lacking saltiness; indulgent, soft; careless, lacking, lax; fragrant (of odor), melodious (of sound)	N5
あまり	あまり	not very	N5
雨	あめ	rain, rainfall; a rainy weather; something falling like rain; The willow or rain suit in a hanafuda deck, representing the month of November and the number eleven in most of Japan (June and six in 虫花 (mushibana) decks, February and two in games from the Nagoya region, and December and twelve in Korea)	N5
飴	あめ	candy	N5
洗う	あらう	to wash	N5
有る	ある	to exist, to be, to have; 有る: (inanimate) to exist, be in existence; 在る: (inanimate) to be at a location; to be located; 有る: (animate) to exist, with the existence considered objective and abstract; 有る: to happen, occur; to be performed, carried out; 在る: to be put in a certain location, position or situation; 有る: to have a certain number, amount, size, etc.; 有る: (of time) to pass, go by; 有る: (of a matter or state) to be recognized, be acknowledged; 在る: to depend on, lie in, be influenced by; 在る, 存る: to be alive, surviving; to have; 有る: to be owned, be possessed; 有る: to be a characteristic or ability; to be included as a part; 有る: (of thoughts, emotions or sensations) to be felt; Indicating that something has a particular quality or is in a particular state; Indicating that the result of a certain action or behavior has continued until now.; Indicating that something is done in advance; Indicating that the action or effect is currently ongoing.; Judging that something has a certain nature or state based on its explanation; or simply expressing assertion (see: である (de aru)); Expressing respect toward the person performing the action; certain, one, some	N5
歩く	あるく	to walk; to walk through some kind of place	N5
あれ	あれ	あれ, アレ: (informal, euphemistic) \"you know what I mean\"; huh? (expression of surprise and confusion when talking to yourself); imperative of あり (ari, “to exist”); (modern language) imperative of ある (aru, “to exist”)	N5
いい	いい	good; enough, not wanted any more; Indicates permission; can, may; stem or continuative form of いう (iu)	N5
良い	よい	good; easy	N5
いいえ	いいえ	no; yes (in response to negative questions), disagree; Response to words of gratitude.	N5
言う	いう	to say, to tell somebody; to call, to name, to give a name; to cry, to call, to make a noise (such as an animal)	N5
家	いえ	a house; one's own home; a home, household; a family	N5
いかが	いかが	how	N5
行く	いく	to go; to come to one's place; to be delivered; to depart; to rely (on a method); to age; to go well; After the て-form of a verb:; to continue to do something; to go on to do something; to gradually do something; イく: (slang) to have an orgasm, to come, to cum	N5
いくつ	いくつ	幾つ: how many; 幾つ: how old (used with small children)	N5
いくら	いくら	how much, how many; no matter how much (many), however much, with all (something)	N5
池	いけ	pond, lake, moat; object used for storage; a surname	N5
医者	いしゃ	doctor	N5
いす	いす	chair	N5
忙しい	いそがしい	busy; restless, fidgety	N5
痛い	いたい	painful; イタい: (slang) cringy; embarrassing; wonderful, pleasant	N5
一	いち	one, 1; term relating to the number one:; the first in order, foremost; the beginning; the best; a kind of; one of something; an ace; unity; the bottom string of a shamisen or other Japanese musical instrument; the best in …; the most in …; a surname	N5
一日	いちにち	one day, 24 hours; the daytime, the period from dawn until dusk; a short period of time; one day, someday, an unspecified day; the first day of the month	N5
いちばん	いちばん	best, first	N5
何時	いつ	what time, when	N5
五日	いつか	the fifth day of the month; five days	N5
一緒	いっしょ	combined, merged, unified; same, identical (of two or more things); combination; a state which is combined; meeting	N5
五つ	いつつ	five things	N5
いつも	いつも	always, invariably, all the time; usually; never; the usual, ordinary	N5
犬	いぬ	dog, canine; servant; one who is loyal (like a dog); spy	N5
今	いま	now; just now; soon; now; present	N5
意味	いみ	a meaning; a significance; a point; meaning; definition; to mean, signify, imply	N5
妹	いもうと	one's own younger sister; the wife of one's younger brother; one's sister-in-law; a younger female; one's sister regardless of age difference; younger sister	N5
嫌	いや	disagreeable, unpleasant, disgusting, offensive, abhorrent; yuck, ew; no, incorrect; Exclamation of surprise in contrast to expectations.; Exclamation used when one finds it difficult to onboard.; the act of respecting one; reverence	N5
入口	いりぐち	entrance	N5
居る	いる	to exist, to be; to have; Used as a 補助動詞 (hojo dōshi), after a verb in the て (-te) conjunctive form. Note that ている (-te iru) colloquially shortens to てる (-teru), ていた (-te ita) colloquially shortens to てた (-teta), etc.; Indicates a progressive or continuative tense: to be doing; Indicates a regular, repetitive action.; Indicates a state resulting from the action.; to sit	N5
要る	いる	to be necessary, to be needed	N5
入れる	いれる	to put (something) in; to admit (someone) in; to tuck in (clothing)	N5
色	いろ	color; the metaphorical color or mood; one's facial coloring or expression; the shape of one's face or appearance; more specifically, beautiful looks or a beautiful figure; lively elegance, enjoyable or interesting charm; apparent thoughtfulness, warmheartedness; the feeling or mood of a thing; the tenor or timber of a voice or sound; in Noh, a section that is chanted at a medium pace; alternately, a decorative poetic section; in 浄瑠璃 (jōruri, “puppet show narrative”), a lively section that is neither strictly dialog nor narration, but has many elements of dialog; when playing the koto, pushing on a string with the fingers of the left hand to change the pitch of a note, or for vibrato; something related to romantic or sexual love, particularly between genders; the emotions or circumstances of attraction between genders; extramarital relations, an affair; an extramarital lover; a prostitute; a red-light district; the type or kind of something; various specific kinds of color:; lipstick or rouge; soy sauce; paint; of exceptional beauty of form or appearance; knowledgeable about lovemaking, sensual; lascivious, lecherous; elegant, tasteful, refined	N5
いろいろ	いろいろ	various	N5
上	うえ	the above; the top (position or direction); the surface; superiority (in skill, age, level, etc.); suffix addressing to a superior; a surname	N5
後ろ	うしろ	the back, the behind, the rear (both spatially and temporally); one's backside	N5
薄い	うすい	thin; thin, weak, diluted	N5
歌	うた	a song; poetry	N5
歌う	うたう	歌う, 唄う: (transitive, intransitive) to sing; 謡う: (specifically) to sing a noh song; 詠う, 咏う: (transitive) to compose poetry; 詠う, 咏う: (transitive, intransitive) to recite poetry; 歌う, 唄う: (intransitive) to tweet, said of birds; 謳う: to state, praise (for own good)	N5
生まれる	うまれる	to be born; to come into existence	N5
海	うみ	a sea, an ocean; a lake; an object covering over a large area, as in 血の海 (chi no umi, “pool of blood”) or 火の海 (hi no umi, “sea of fire”); a mare (dark surface of a celestial body, thought to appear like a sea); in a 硯 (suzuri, “inkstone”), a reservoir where water is stored; a female given name	N5
売る	うる	to sell something (to agree to transfer goods); to sell someone out, to betray; to agitate, to incite	N5
煩い	うるさい	overwhelmingly thorough (often in a positive way); excessive, repetitive (in a negative way); so thoroughly knowledgeable and particular about something as to be annoying to others: picky, nitpicking, fussy; pushy, bossy, overly particular and demanding; excellent of technique (particularly for a performance); extremely strained, faked, insincere, affected; oppressive and annoying in a surrounding and overwhelming way; noisy, loud; annoying, irritating; troublesome, bothersome, irksome (usually in reference to having to do something); dirty, messy, causing a bad feeling; shut up; stop it	N5
上着	うわぎ	coat, jacket; outerwear; outermost robe of women's formal court dress, worn over the 打衣 (uchiginu) and under the 唐衣 (karaginu)	N5
絵	え	picture, painting; drawing, sketch	N5
映画	えいが	movie, film	N5
映画館	えいがかん	cinema, movie theater	N5
英語	えいご	the English language	N5
ええ	ええ	yes, indeed; oh (utterance of surprise); well, let me see; what?; good	N5
駅	えき	station (train, underground/subway); a government-run post-station where officials could get horses, food, lodging	N5
エレベーター	えれべーたー	an elevator (US) or lift (UK)	N5
鉛筆	えんぴつ	a pencil (graphite writing-instrument)	N5
おいしい	おいしい	delicious	N5
多い	おおい	there are many, there is much, there are numerous, there is an abundance, there amply exists, abounding	N5
大きい	おおきい	big; broad, immense; important; crucial	N5
大きな	おおきな	big, large	N5
大勢	おおぜい	in a crowd, as a crowd; a crowd, a large number of people	N5
お母さん	おかあさん	mother; one's mother	N5
お菓子	おかし	sweet, confection; candy; pastry, cake, cookie	N5
お金	おかね	money	N5
起きる	おきる	to wake up; to stay up, to stay awake; to get up, to sit up; to occur, to happen	N5
置く	おく	to put, place, set; to leave (something); to do something in advance as preparation; to do and keep in that state	N5
奥さん	おくさん	wife (referring to someone else's wife, not one's own); married woman	N5
お酒	おさけ	alcohol, sake	N5
お皿	おさら	plate, dish	N5
おじいさん	おじいさん	grandfather, male senior citizen	N5
教える	おしえる	to inform, to teach, to instruct; to tell	N5
おじさん	おじさん	uncle, middle aged gentleman	N5
押す	おす	to push; to thrust; to shove; to press; to stamp; to focus one's attack; to ignore an injury; to persuade	N5
遅い	おそい	遅い: slow, late (as in delayed); 遅い, 晩い: late (as in during the day)	N5
お茶	おちゃ	tea, usually green tea; tea ceremony; snack with tea or coffee; the act of having tea; go out for tea	N5
お手洗い	おてあらい	a restroom, a toilet, a lavatory, a bathroom	N5
お父さん	おとうさん	father	N5
弟	おとうと	one’s own younger brother; a younger male; younger brother	N5
男	おとこ	a male person; a man, an adult male; 男, 漢: (specifically) a manly man; a male lover; a manservant; a husband; an unmarried young man; homosexuality; a surname	N5
男の子	おとこのこ	a boy	N5
一昨日	おととい	the day before yesterday, two days ago	N5
一昨年	おととし	the year before last, two years ago	N5
大人	おとな	an adult, a grown-up; a leader:; an elder of a group or community; in the late Muromachi period, the representative of a village or guild; the head lady-in-waiting; one's wife; in the Edo period, a kind of civil servant working in Nagasaki; the head servant; mature; grown-up; adult; sexual	N5
おなか	おなか	stomach	N5
同じ	おなじ	same, identical; common, similar; anyhow, anyway; The iteration mark 々, which indicates that the previous kanji ought to be repeated.	N5
お兄さん	おにいさん	elder brother; you, he, him (a non-aged male stranger)	N5
お姉さん	おねえさん	elder sister: used as term of address to one's own older sister, and to refer to other people's older sisters; young woman, young lady	N5
おばあさん	おばあさん	grandmother, female senior-citizen	N5
伯母さん	おばさん	an aunt who is older than one's parent	N5
お風呂	おふろ	bath, the equipment used for taking a bath such as a private bathtub or public bathing area; the room in which baths are taken, a bathroom (only for taking baths); a public bath, a public bathhouse	N5
お弁当	おべんとう	boxed lunch, bento, lunchbox	N5
覚える	おぼえる	覚える, 憶える: to recall, to remember; to learn; 覚える, 憶える: to memorize; to feel (an emotion or sense)	N5
おまわりさん	おまわりさん	a policeman, a policewoman, a police officer	N5
重い	おもい	heavy; sluggish; slow; congested; having poor performance; large	N5
おもしろい	おもしろい	Interesting	N5
泳ぐ	およぐ	to swim; to act freely while being monitored (in the possibility that one will do something incriminating); used in the causative 泳がす、泳がせる (oyogasu, oyogaseru, “to let someone act freely and monitor them”)	N5
降りる	おりる	get off, disembark; descend, go down; step down, retire; give up, quit	N5
終る	おわる	to finish	N5
音楽	おんがく	music	N5
女	おんな	a female person; a woman, an adult female; a wife; a mistress, concubine; a maid; a prostitute; a woman's appearance or quality; a feminine object; the object in a pairing which is smaller, gentler, etc. than the other; girlfriend	N5
女の子	おんなのこ	a child that is female; a girl; a woman	N5
外国	がいこく	foreign country	N5
外国人	がいこくじん	a foreigner, a person from a foreign country; an alien, a foreign national; a person who is not Japanese	N5
会社	かいしゃ	a company	N5
階段	かいだん	stairs, staircase; ladder, a series of steps to advancement to be followed in order	N5
買い物	かいもの	shopping, buying; purchased goods; to shop, to buy	N5
買う	かう	to buy; to value, to appreciate, to have a high opinion of someone; to provoke someone, to stir	N5
返す	かえす	to return (something); to repeat, to redo	N5
帰る	かえる	to go home, return; to leave, walk away; to get to home plate	N5
掛かる	かかる	to hang; to suspend or float in a high position as if suspended; to be poured over something; to fall and cover something; to go across; to go from one side to the other; to be set up; to be constructed or erected; to be entrapped; to be tricked; to be affected with something bad; to function; to work; to worry; to be imposed as a burden (on someone); to require, to take time or money, to cost; to begin; to start; to attack; to assault; to hang	N5
鍵	かぎ	key (tool for opening or locking something); key; clue (important fact for solving something); lock	N5
書く	かく	to write; to record (words, figures) on the surface of (something); to compose; to put (an idea, etc) into words	N5
学生	がくせい	a student (usually of a university, sometimes of a high school)	N5
掛ける	かける	to hang (a picture, etc.), to hoist, to raise (a flag), to fly (a kite); to multiply; to sit (on a chair or bench, but not on the floor); to speak, to give (an order etc.), to call out, to call on the telephone; to pour onto, to shake onto, to splash, to drip; to wear a piece of clothing; to pun (謎掛け); to address someone, to direct, to do (something to someone); to be about to, to begin; in the middle of, to begin (and not yet complete); times (multiplication)	N5
傘	かさ	umbrella (cloth-covered frame used for protection against rain or sun); bell; umbrella (of a jellyfish)	N5
貸す	かす	to lend; to let someone use; to lease; to rent out; (British English) to hire out	N5
風	かぜ	wind (movement of air); airs; a style	N5
風邪	かぜ	a cold (illness)	N5
家族	かぞく	a family, a household	N5
方	かた	person; way, method (of doing)	N5
学校	がっこう	school (institution dedicated to teaching and learning)	N5
カップ	かっぷ	cup or mug, specifically, one with a handle.; prize cup; cup, a unit of measure; cup, a part of a brassiere	N5
家庭	かてい	family; household	N5
角	かど	a corner (e.g., of a desk; compare 隅); an edge; a street corner; a surname	N5
鞄	かばん	a bag, satchel, briefcase, or handbag (often made of leather or canvas)	N5
花瓶	かびん	vase	N5
紙	かみ	paper	N5
カメラ	かめら	camera; video camera; movie camera; surveillance camera	N5
火曜日	かようび	Tuesday	N5
辛い	からい	spicy hot; salty; bitter, not sweet; harsh	N5
体	からだ	counter for humanoid objects; the body (e.g., of a human or animal); the torso excluding the limbs: the trunk, abdomen; a substance, matter; a form, shape; field (commutative ring with invertible nonzero elements); an outward appearance, look, aspect	N5
借りる	かりる	to borrow; to rent; to owe	N5
軽い	かるい	light, lightweight; slight, light, mild; easy; talkative	N5
カレー	かれー	Indian curry; Japanese curry rice	N5
カレンダー	かれんだー	calendar; calender	N5
川	かわ	river, stream, brook	N5
河	かわ	river; river: a player's discard pile	N5
かわいい	かわいい	Cute	N5
漢字	かんじ	kanji	N5
木	き	a tree or shrub; wood, timber, lumber; a tree (data structure); a clapper used to signal the opening or closing of a match or play	N5
黄色	きいろ	yellow	N5
黄色い	きいろい	yellow; high-pitched	N5
消える	きえる	to disappear, to vanish, (of a fire or light) to go out; to die	N5
聞く	きく	聞く, 聴く: to hear, to listen; to obey; 聞く, 訊く: to ask a question; to smell, sniff	N5
北	きた	north (cardinal point); the North (northern part of a region); a northerly, north wind; short for 北の方 (kita no kata): northward; a developed country; Kita (one of 23 special wards in Tokyo prefecture, Japan); the red-light district north of Edo Castle; a surname; a female given name; to go northwards	N5
ギター	ぎたー	a guitar	N5
汚い	きたない	dirty; untidy, messy; mean, unfair; illegible	N5
喫茶店	きっさてん	Café; tea house; tearoom; coffee shop, kissaten	N5
切手	きって	a stamp; a substitute for postage stuck to the postcard	N5
切符	きっぷ	train ticket	N5
昨日	きのう	yesterday	N5
九	きゅう	nine; 究: an indeterminate large number, a myriad, a great many; the number of yang, in opposition to 六 (roku, “six”) as the number of yin	N5
九	く	nine; the ninth	N5
牛肉	ぎゅうにく	cow meat; beef	N5
牛乳	ぎゅうにゅう	cow's milk	N5
今日	きょう	today, this day; nowadays; Same as こんにち above	N5
教室	きょうしつ	classroom	N5
兄弟	きょうだい	brothers; 姉妹, 兄妹, 姉弟: (by extension) siblings in general; brothers and sisters; brethren (brotherhood, fellowship)	N5
去年	きょねん	last year	N5
嫌い	きらい	hateful, detestable, disagreeable; discriminating, distinctive; discrimination, distinction; a suspicion, a tendency, to smack of; in 俳諧 (haikai) and 連歌 (renga), arrangement of verses that tend to be avoided or otherwise disliked	N5
切る	きる	to cut, to slice, to carve; cut down, fell, chop down; prune, trim, shear; cut flat things such as cloth or paper; cut a person with a sword, cut down, kill; separate from the main body, cut off, break away; perform an action as if by cutting; discontinue an action, cut off, break off, turn off, hang up; cut or sever connection with; cut off or divide by or as if by partition; perform an action boldly; go under, be less than (numerically); to remove; to run out; finish, be through; perform an action thoroughly or decisively	N5
着る	きる	put on or wear on the upper body or the entire body; take a crime on oneself	N5
きれい	きれい	pretty, clean	N5
キロ	きろ	kilo-; clipping of キログラム (kiroguramu, “kilogram”); kilo; clipping of キロメートル (kiromētoru, “kilometer”)	N5
キログラム	きろぐらむ	kilogramme; kilogram	N5
キロメートル	きろめーとる	kilometre	N5
銀行	ぎんこう	a bank (financial institution)	N5
金曜日	きんようび	Friday	N5
薬	くすり	a medicine or drug, a pharmaceutical; a substance with mystical properties, especially one that has an effect on the body, health, or lifespan; a chemical, generally toxic and used for its effect on living organisms, such as insecticide or herbicide; a substance that has a beneficial effect in improving or maintaining one's health; something that has a beneficial effect in correcting one's mistakes; short for 釉薬 (uwagusuri): a glaze or enamel applied to ceramics; gunpowder (from the “mystical substance” sense, and the second character in the word 火薬 (kayaku, “gunpowder”)); a small bribe	N5
ください	ください	下さい: (polite) imperative form of 下さる (kudasaru); please give me; please do something for me	N5
果物	くだもの	edible fruit that grows on trees or shrubs, such as oranges and apples, or sweet edible fruit that grows along the ground, such as strawberries and melons	N5
口	くち	the mouth; (by extension) one's speech, one's words; the mouthpiece of a flute; used to count people; used to count per-person portions; used to count open-mouthed containers; used to count bladed weapons or tools	N5
靴	くつ	footwear, footgear: a shoe, (a pair of) shoes; 口: prefixal bound form of くち (kuchi, “mouth”); 朽つ: Classical Japanese form of くちる (kuchiru)	N5
靴下	くつした	socks; sock puppet	N5
国	くに	a land, a large place; a country in general, a region; a country as in a nation, a state; the office of emperor, the crown; affairs of state; a province of ancient Japan; the national government in ancient Japan; the national capital in ancient Japan; one's birthplace, where one is from, one's home	N5
曇り	くもり	cloudy weather, cloudiness; stem or continuative form of 曇る (kumoru)	N5
曇る	くもる	to become cloudy, to cloud up	N5
暗い	くらい	dark, dim; gloomy, depressed; about, approximately; at least, if anything; grade, rank, standing; the throne, the crown; place, position; being at the point of, the place where, the point where, the time when,; seat, position, rank, grade; eating; stem or continuative form of くらう (kurau)	N5
クラス	くらす	class (group of students in a regularly scheduled meeting with a teacher); class of things (typically products) sharing certain features; class	N5
グラム	ぐらむ	gram (unit of mass)	N5
来る	くる	to come (toward the speaker/writer); to come and stimulate; when it comes to; to happen to do something, to come to do something	N5
車	くるま	a car, an automobile, a carriage, a cart; a wheel, a caster; something wheel-shaped; a style of 紋 (mon, “family crest”); short for various terms:; short for 車海老 (kuruma ebi): a prawn; short for 車懸 (kuruma-gakari): “wheel formation”, a battle tactic where units attack in staged waves in order to prevent the opponent from resting; short for 肩車 (kata-guruma): riding on one's shoulders, piggyback; short for 手車 (te-guruma): a handcart, a wheelbarrow; short for 車座 (kuruma za): sitting in a circle; during the Edo period, in the red-light district in Ōsaka, a prostitute whose services cost four 匁 (monme) and three 分 (bun) (possibly in reference to the cost of a carriage ride)	N5
黒	くろ	black	N5
黒い	くろい	black	N5
警官	けいかん	police officer	N5
今朝	けさ	this morning	N5
消す	けす	to extinguish; to put out; to cut power; to turn off; to erase, to delete; to kill, to execute	N5
結構	けっこう	the assembly or composition of things into a single unified whole; such an assembly or composition; a plan or scheme; preparations; alternative name for 茗荷 (myōga): myoga or Japanese ginger; to assemble or compose things into a single unified whole; to plan or scheme; to prepare; splendid, wonderful; fine, sufficient, tolerable; no thank you, all right, fine, enough; of unspecified gravity; quite	N5
結婚	けっこん	marriage; get married	N5
月曜日	げつようび	Monday	N5
玄関	げんかん	the entrance to a profound path; in particular an introduction to the Zen Buddhist discipline; the entrance to a Zen Buddhist temple; the front entrance of a Japanese home; usually recessed into the floor	N5
元気	げんき	healthy; energetic; in a good mood; peppy; lively; the fundamental force that permeates through all matter and life; health, healthfulness; energy; good spirits; vitality; cheer; liveliness; enthusiasm; a male given name	N5
五	ご	five; a name of a hole of a wind instrument	N5
公園	こうえん	park	N5
交差点	こうさてん	crossing, crossroad, intersection	N5
紅茶	こうちゃ	black tea	N5
交番	こうばん	a small community police office or police box; alternation, alternating (e.g. current)	N5
声	こえ	a voice; an accent; a feedback; a feeling, sound, or tone of something; a voiced sound; a Sino-Japanese pronunciation or reading of a Chinese character, as opposed to its 訓 (kun) or native Japanese counterpart	N5
コート	こーと	coat; coating (covering of material, paint); court	N5
コーヒー	こーひー	coffee	N5
此処	ここ	here; this place, area, or part (near the speaker) (Can be juxtaposed with a phrase with で (de) or に (ni).); this organization or team (near or associated with the speaker) (Can be juxtaposed with a phrase with で (de) or に (ni).); here; this place, area, or part I am talking about; this organization or team I am talking about	N5
午後	ごご	afternoon, PM	N5
九日	ここのか	the ninth day of the month; nine days	N5
九つ	ここのつ	nine things	N5
午前	ごぜん	forenoon, AM	N5
答える	こたえる	to answer a question; to say in reply to a question	N5
こちら	こちら	this direction, this way; this person; I, me, we, us; this thing	N5
此方	こっち	this direction, this way; this person; I, me, we us; this thing	N5
コップ	こっぷ	a drinking glass, a tumbler	N5
今年	ことし	this year, the present year; this year	N5
言葉	ことば	a word, a term; language, speech	N5
子供	こども	child	N5
此の	この	genitive of 此 (kore, “this”)	N5
御飯	ごはん	cooked rice; a meal of any sort	N5
コピー	こぴー	act of copying; copied paper; short for キャッチコピー	N5
困る	こまる	to have trouble (with something); to be bothered (by something), to be vexed, to be troubled, to be in trouble	N5
これ	これ	this; this one (near the speaker); this one I am talking about (only the speaker knows); I; me; you; Repeats the topic with a correct case marker to avoid any misunderstanding if it is not a subject.	N5
今月	こんげつ	this month	N5
今週	こんしゅう	this week	N5
こんな	こんな	like this; this kind of	N5
今晩	こんばん	this evening, tonight	N5
さあ	さあ	Come on, go on, here, now.; Well, uh, hmm, let's see.; No idea, not sure; dunno	N5
財布	さいふ	a container for one's money: a wallet, a coin purse, a billfold, a pocketbook	N5
魚	さかな	a fish; short for 魚鱗 (gyorin): fish scales; fish; fishlike	N5
先	さき	before, previous; end, tip; earlier, the past; afterwards, the future; the destination of a motion or action; sequel; ahead, in front	N5
咲く	さく	to bloom; to make white waves appear	N5
作文	さくぶん	writing, essay, composition; to write a composition	N5
差す	さす	raise one's hands; extend one's hands; hold (something such as an umbrella) over one's head; offer (sake to someone); pour; drip; drop; cause to flow or drip; rise; appear; arise	N5
雑誌	ざっし	a journal (newspaper or magazine)	N5
砂糖	さとう	sugar	N5
寒い	さむい	cold (ambient temperature, as a winter day is cold); fearful; terrible; not funny	N5
さ来年	さらいねん	year after next	N5
三	さん	three; three, 3; third	N5
散歩	さんぽ	a walk, a stroll; take a walk	N5
四	し	the fourth	N5
四	よん	four, 4; the fourth; four; fourth; quadruple; here and there	N5
塩	しお	salt; saltiness; hardship, toil, trouble; a hoarse voice; short for 塩屋 (shioya): a salter	N5
然し	しかし	but, however	N5
時間	じかん	time; hour; the hours or time when something happens; an hour-long period	N5
仕事	しごと	a job; an occupation; work; job, work (task); work, change of energy; to work	N5
辞書	じしょ	a dictionary (publication that explains the meanings of an ordered list of words); a letter of resignation; a formal document of abdication when one emperor steps down and a new emperor ascends the throne	N5
静か	しずか	inaudible, quiet, silent; calm, tranquil; still, stopped and not moving; not busy	N5
下	した	the underneath	N5
七	しち	seven; seventh; seven times; seven, 7; a seven; a gambler; a surname	N5
七	なな	a seven; a gambler; a surname	N5
質問	しつもん	a question; to ask a question	N5
自転車	じてんしゃ	a bicycle	N5
自動車	じどうしゃ	automobile, car, motorcar	N5
死ぬ	しぬ	to die; to die, to perish, to cease to be anymore; to become lifeless, to lack vitality, to show a lack of vigor	N5
字引	じびき	dictionary	N5
自分	じぶん	oneself; first-person pronoun: I, me (often shows the speaker's lower position in a hierarchy than the addressee); you	N5
閉まる	しまる	to shut, to close	N5
閉める	しめる	to shut, to close	N5
締める	しめる	to fasten; to kill (fish); to rinse and chill (noodles) in cold water; to total; to sum	N5
じゃ	じゃ	so, then—used for connecting to a reasonable conclusion, supposition; well; then; so; by extension from the \"so then\" meaning: bye, goodbye; 蛇: generic name for a large snake; a heavy drinker; 邪: a moral wrong; a bad attitude; maliciousness, wickedness; such a person; 麝: short for 麝香 (jakō, “musk”); short for 麝香鹿 (jakōjika, “musk deer”)	N5
じゃあ	じゃあ	alternative form of じゃ	N5
写真	しゃしん	photograph	N5
シャツ	しゃつ	a shirt; an undershirt, a vest	N5
シャワー	しゃわー	shower (a device for bathing); shower (an instance of using this device); shower (a cascade of secondary particles produced when high-energy particles enter dense matter)	N5
十	じゅう	a ten-year-old	N5
十	とお	ten, 10; a ten-year-old; tenth; tenfold; all, completely, perfect; multiplied by ten: tenfold	N5
授業	じゅぎょう	instruction; teaching; school; lesson, class; teach; to instruct; give a lesson	N5
宿題	しゅくだい	homework	N5
上手	じょうず	skillful, dexterous; skill, dexterity; flattery (from being told how skillful one is, even if one isn't); a person with the seventh dan in the games of shogi or go	N5
丈夫	じょうぶ	durable, indestructible, unbreakable, unwreckable; hero; gentleman; good health; robustness	N5
しょうゆ	しょうゆ	soy sauce	N5
食堂	しょくどう	a room, hall, or building where food is served or sold: a cafeteria, canteen, buffet, dining room, dining hall, eatery, restaurant, refectory	N5
知る	しる	to know, be aware of; to learn, acquire,; to be acquainted with, to know (someone); to care in the least about, to be concerned with,	N5
白	しろ	the color white; innocence; a white go stone; something unwritten; the white team in a 紅白 (kōhaku) group; an unlicensed prostitute; short for 銀 (shirogane): silver; synonym of 塩 (shio): salt; short for 白書院 (shiroshoin): a specific kind of drawing room or study, using unpainted cedar wood with straight grain; a type of もつ焼き (motsuyaki) made from pig intestines; in the game of 人狼 (Jinrō, “Werewolf; Mafia”), one who is on the villagers' side	N5
白い	しろい	white	N5
新聞	しんぶん	news; newspaper	N5
水曜日	すいようび	Wednesday	N5
